영역,진입 HTML ID,버튼명,판정,뷰어 URL,앱 진입 경로,이동 경로,경로가 정확히 일치하는 기존 HTML ID,관찰된 옵션,비고,재현 컨트롤 키
증빙,evidence-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=evidence-action-03,/erp/evidence,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
증빙,evidence-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=evidence-action-03,/erp/evidence,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
설정,settings-action-02,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=settings-action-02,/erp/settings,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
설정,settings-action-02,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=settings-action-02,/erp/settings,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
설정,settings-action-09,내려받기,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=settings-action-09,/erp/settings,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|내려받기||1
설정,settings-action-12,CSV 파일을 선택하거나 끌어놓으세요필수 열과 형식을 먼저 확인합니다.,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=settings-action-12,/erp/settings,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|CSV 파일을 선택하거나 끌어놓으세요필수 열과 형식을 먼저 확인합니다.||1
결산 리포트,reports-close-check,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=reports-close-check,/erp/reports,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
결산 리포트,reports-close-check,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=reports-close-check,/erp/reports,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
문서 만들기,document-flow-draft,축소,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-draft,/erp/documents/create/CI-2026-0708,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|축소||1
문서 만들기,document-flow-draft,확대,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-draft,/erp/documents/create/CI-2026-0708,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|확대||1
문서 만들기,document-flow-draft,전체 화면,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-draft,/erp/documents/create/CI-2026-0708,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|전체 화면||1
선적,shipments-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=shipments-action-03,/erp/shipments,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
선적,shipments-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=shipments-action-03,/erp/shipments,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
처음 시작하기,onboarding-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=onboarding-action-03,/erp/onboarding,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
처음 시작하기,onboarding-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=onboarding-action-03,/erp/onboarding,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
처음 시작하기,onboarding-action-07,PDF 문서 선택,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=onboarding-action-07,/erp/onboarding,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|PDF 문서 선택||1
정산,settlement-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=settlement-action-03,/erp/settlement,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
정산,settlement-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=settlement-action-03,/erp/settlement,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
운영 감시,monitoring-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=monitoring-action-03,/erp/monitoring,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
운영 감시,monitoring-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=monitoring-action-03,/erp/monitoring,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 만들기,document-flow-pending,초안 PDF 다운로드,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-pending,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|초안 PDF 다운로드||1
문서 만들기,document-flow-summary,본문 PDF 다운로드,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-summary,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|본문 PDF 다운로드||1
문서 만들기,document-flow-summary,전체 패키지 다운로드,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-summary,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|전체 패키지 다운로드||1
설정,settings-notifications,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=settings-notifications,/erp/settings,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
설정,settings-notifications,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=settings-notifications,/erp/settings,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
알림,notifications-action-02,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=notifications-action-02,/erp/notifications,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
알림,notifications-action-02,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=notifications-action-02,/erp/notifications,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 올리기,document-invoice-connect,PDF 다운로드,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-invoice-connect,/erp/documents/upload/%EC%9D%B8%EB%B3%B4%EC%9D%B4%EC%8A%A4_2607_003.pdf/connect,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|PDF 다운로드||1
거래처,counterparties-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=counterparties-action-03,/erp/counterparties,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
거래처,counterparties-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=counterparties-action-03,/erp/counterparties,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 만들기,document-flow-link-copied,복사됨,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-link-copied,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|복사됨||1
문서 만들기,document-flow-link-copied,새창,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-link-copied,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|새창||1
문서 만들기,document-flow-link-copied,발송 요청 기록,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-flow-link-copied,/erp/documents/create/CI-2026-0708,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|발송 요청 기록||1
문서 올리기,document-upload-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-upload-action-03,/erp/documents/upload,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
문서 올리기,document-upload-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-upload-action-03,/erp/documents/upload,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 만들기,document-create-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-create-action-03,/erp/documents/create,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
문서 만들기,document-create-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-create-action-03,/erp/documents/create,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
거래,deal-dl-260701-09-action-15,축소,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260701-09-action-15,/erp/deals/DL-260701-09,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|축소||1
거래,deal-dl-260701-09-action-15,확대,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260701-09-action-15,/erp/deals/DL-260701-09,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|확대||1
거래,deal-dl-260701-09-action-15,전체 화면,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260701-09-action-15,/erp/deals/DL-260701-09,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|전체 화면||1
거래,deal-dl-260701-09-action-15,PDF 다운로드,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260701-09-action-15,/erp/deals/DL-260701-09,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|PDF 다운로드||1
오늘 할 일,home,2건 더 보기,화면·선택값 변화 관찰 / 결과 화면 중복 검토 필요,https://devdev-e6t.pages.dev/html/erp/?page=home,/erp/home,/erp/home,,,,BUTTON|2건 더 보기||1
